PC1	PC2	target
5.753311457091633	-0.24049299303029967	番茄80
5.867547820227365	-0.3324045626710854	番茄80
5.7971010592213155	0.5181930697327902	番茄80
5.336029190607939	-1.1401481213426392	番茄80
5.1280837528571475	0.6657125471119855	番茄80
5.704084209256297	0.5279482739897869	番茄80
-2.3933540861415263	-0.16289438325947753	番茄60
-2.3905026756828516	0.06019351247915674	番茄60
-2.5451846835389693	0.03137675285005295	番茄60
-2.5475064673873455	0.03128427981768526	番茄60
-2.503629670387692	0.01902969320898693	番茄60
-2.6680445286652206	0.042145872201486564	番茄60
-3.131290684924787	-0.011090040239548571	番茄
-3.100485562133218	0.006073467232502322	番茄
-3.1410905282202495	-0.01009930788511126	番茄
-3.066824989614238	0.007002627136236079	番茄
-3.045407194129142	0.0002460973867192799	番茄
-3.052836418436459	-0.012076784719228158	番茄
